Category Name,ID,Required Item Specifics
"Clothes, Shoes & Accessories>Men>Men's Accessories>Braces",105387,"Type, Brand, Colour, Department"
"Clothes, Shoes & Accessories>Men>Men's Accessories>Gloves & Mittens",2994,"Brand, Colour, Size"
"Clothes, Shoes & Accessories>Men>Men's Accessories>Hats",52365,"Brand, Style. Colour, Size, Department"
"Clothes, Shoes & Accessories>Men>Men's Accessories>Scarves",52382,"Brand, Colour, Department, Type"
"Clothes, Shoes & Accessories>Men>Men's Accessories>Ties, Bow Ties & Cravats",15662,"Brand, Colour, Department, Type"
"Clothes, Shoes & Accessories>Men>Men's Clothing>Activewear>Activewear Jackets",185702,"Brand, Colour, Department, Outer Shell Material, Size, Style, Type"
"Clothes, Shoes & Accessories>Men>Men's Clothing>Activewear>Activewear Shorts",260957,"Brand, Colour, Department, Size, Style"
"Clothes, Shoes & Accessories>Men>Men's Clothing>Activewear>Activewear Tops",185076,"Brand, Colour, Department, Size, Type"
"Clothes, Shoes & Accessories>Men>Men's Clothing>Activewear>Activewear Trousers",260956,"Brand, Colour, Department, Size, Style, Type"
"Clothes, Shoes & Accessories>Men>Men's Clothing>Activewear>Hoodies & Sweatshirts",155183,"Brand, Size, Type, Colour, Style, Department"
"Clothes, Shoes & Accessories>Men>Men's Clothing>Coats, Jackets & Waistcoats",57988,"Brand, Size, Type, Outer Shell Material, Colour, Style, Department"
"Clothes, Shoes & Accessories>Men>Men's Clothing>Jeans",11483,"Brand, Colour, Department, Size, Style, Type"
"Clothes, Shoes & Accessories>Men>Men's Clothing>Jumpers & Cardigans",11484,"Brand, Size, Type, Colour, Style, Department"
"Clothes, Shoes & Accessories>Men>Men's Clothing>Shirts & Tops>Casual Shirts & Tops",57990,"Brand, Size, Type, Colour, Department, Fit, Sleeve Length"
"Clothes, Shoes & Accessories>Men>Men's Clothing>Shirts & Tops>Formal Shirts",57991,"Brand, Size, Type, Colour, Department, Fit, Sleeve Length"
"Clothes, Shoes & Accessories>Men>Men's Clothing>Shirts & Tops>Polos",185101,"Brand, Size, Type, Colour, Department, Fit, Sleeve Length"
"Clothes, Shoes & Accessories>Men>Men's Clothing>Shirts & Tops>T-Shirts",15687,"Brand, Size, Type, Colour, Department, Sleeve Length, Neckline"
"Clothes, Shoes & Accessories>Men>Men's Clothing>Shorts",15689,"Brand, Colour, Department, Size, Style"
